,$\mathbf{R_{out}}$ \textbf{Calculated},$\mathbf{R_{out}}$ \textbf{Calculated},\textbf{%error}
Simple Current Source,12500,11893,-0.04856
Modified Wilson,698753,3589.29,-0.9948632922
