$\mathbf{R_L}$,$\mathbf{R_{real}}$,$\mathbf{V_{IREF}}$,$\mathbf{I_{REF}}$,$\mathbf{I_{OUT}}$,$\mathbf{V_{OUT}}$
2000,1984.7,\num{7.995},\num{0.00447798812591016},\num{0.0043497},\num{-3.8736}
1500,1498.3,\num{7.9943},\num{0.00447759605690602},\num{0.00455},\num{-1.8124}
1000,993.45,\num{7.9932},\num{0.00447697994847093},\num{0.004693},\num{0.344}
500,495.35,\num{7.9921},\num{0.00447636384003585},\num{0.004696},\num{2.606}
470,464.9,\num{7.9797},\num{0.00446941861767671},\num{0.0048429},\num{2.7477}
200,200.84,\num{7.9901},\num{0.00447524364288115},\num{0.00493527185819558},\num{4.0088}
100,99.6,\num{7.9905},\num{0.00447546768231209},\num{0.00512048192771084},\num{4.49}
